player_id,player_name,last_season,last_week,leaf_rating,leaf_uncertainty,total_games,total_attempts
00-0000865,C.Batch,2012,13,0.021785,0.051092,17,244
00-0001361,D.Bledsoe,2006,7,-0.014681,0.052602,6,185
00-0001823,A.Brooks,2006,17,-0.050500,0.050781,7,216
00-0002110,M.Brunell,2011,15,-0.012979,0.048527,15,322
00-0003292,K.Collins,2011,3,-0.001787,0.036240,46,1263
00-0003315,T.Collins,2010,20,-0.035856,0.051914,11,225
00-0003739,D.Culpepper,2009,17,-0.056764,0.040900,24,658
00-0004161,J.Delhomme,2011,17,-0.026335,0.035976,50,1536
00-0004293,T.Dilfer,2007,14,-0.108772,0.049344,7,243
00-0005106,B.Favre,2010,15,0.076373,0.035583,81,2808
00-0005589,G.Frerotte,2008,14,-0.053721,0.042506,20,510
00-0005755,J.Garcia,2008,17,0.072474,0.036652,36,1040
00-0006355,T.Green,2008,12,-0.021887,0.042956,17,474
00-0006423,B.Griese,2008,15,-0.006786,0.041395,17,500
00-0007091,M.Hasselbeck,2015,16,0.005063,0.036270,107,3545
00-0007835,D.Huard,2008,7,-0.011506,0.039899,26,720
00-0008442,B.Johnson,2008,9,-0.069287,0.041629,19,564
00-0009311,J.Kitna,2011,2,0.022194,0.035113,47,1753
00-0010346,P.Manning,2015,21,0.079321,0.034207,156,5924
00-0011022,D.McNabb,2011,6,0.012869,0.034308,77,2769
00-0011024,S.McNair,2007,10,0.023422,0.038635,23,723
00-0013042,J.Plummer,2006,17,-0.019937,0.046465,12,334
00-0016193,V.Testaverde,2007,14,-0.041610,0.052643,7,185
00-0017200,K.Warner,2009,19,0.145987,0.034737,57,2007
00-0019559,C.Pennington,2010,10,0.099299,0.036590,47,1455
00-0019596,T.Brady,2022,19,0.099495,0.031856,292,11530
00-0019599,M.Bulger,2009,11,-0.055396,0.035382,52,1786
00-0019623,T.Rattay,2007,12,0.014782,0.057467,8,132
00-0019709,C.Redman,2011,17,-0.015425,0.048155,14,317
00-0020245,M.Vick,2015,6,-0.029616,0.037461,78,2082
00-0020305,A.Feeley,2011,13,-0.021005,0.049200,9,252
00-0020434,C.Weinke,2007,17,-0.065076,0.055975,4,133
00-0020480,S.Rosenfels,2008,13,0.099407,0.042886,18,468
00-0020531,D.Brees,2020,19,0.155849,0.034437,245,9747
00-0020565,C.Lemon,2008,10,-0.023816,0.044149,13,402
00-0020608,D.Carr,2012,17,-0.023768,0.044566,33,694
00-0020613,Q.Gray,2008,12,0.051748,0.053453,9,185
00-0020679,S.Hill,2016,17,0.024992,0.038492,45,1303
00-0021141,J.Harrington,2007,13,-0.039960,0.038355,23,781
00-0021206,J.McCown,2019,18,-0.000577,0.035748,64,1955
00-0021231,D.Garrard,2010,16,0.056781,0.035310,70,2192
00-0021296,J.O'Sullivan,2009,17,-0.085542,0.048743,13,294
00-0021429,C.Palmer,2017,7,0.072649,0.033058,156,5777
00-0021678,T.Romo,2016,17,0.145421,0.035660,136,4787
00-0022005,C.Simms,2009,11,-0.117805,0.056617,6,134
00-0022026,B.Bollinger,2008,17,-0.025435,0.059958,8,100
00-0022055,S.Wallace,2013,10,-0.020529,0.041357,40,816
00-0022121,R.Grossman,2011,17,-0.042386,0.034714,48,1541
00-0022164,K.Boller,2011,7,-0.084856,0.042902,26,581
00-0022177,B.Leftwich,2012,11,-0.037690,0.044076,21,471
00-0022787,M.Schaub,2019,12,0.066069,0.036699,106,3460
00-0022803,E.Manning,2019,15,0.010733,0.033408,222,8137
00-0022864,L.McCown,2015,7,-0.015162,0.049993,15,281
00-0022912,J.Losman,2011,14,-0.028398,0.039785,30,795
00-0022924,B.Roethlisberger,2021,19,0.023274,0.032679,240,9061
00-0022942,P.Rivers,2025,17,0.114717,0.034035,255,9090
