player_id,player_name,last_season,last_week,leaf_rating,leaf_uncertainty,total_games,total_attempts
00-0000865,C.Batch,2012,13,0.0221640247849933,0.051091505465080005,17,244
00-0001361,D.Bledsoe,2006,7,-0.0145086270143916,0.052601732075447855,6,185
00-0001823,A.Brooks,2006,17,-0.050734018757374,0.05078099679554449,7,216
00-0002110,M.Brunell,2011,15,-0.0128670426738613,0.048527299536743236,15,322
00-0003292,K.Collins,2011,3,-0.001638784903495,0.03623994469388302,46,1263
00-0003315,T.Collins,2010,20,-0.0358869585241232,0.051913661947332324,11,225
00-0003739,D.Culpepper,2009,17,-0.0565533557374107,0.04089965107963636,24,658
00-0004161,J.Delhomme,2011,17,-0.0266453391805025,0.035976045337472826,50,1536
00-0004293,T.Dilfer,2007,14,-0.1090897286267609,0.049343626695800336,7,243
00-0005106,B.Favre,2010,15,0.0759102836185733,0.03558285600122761,81,2808
00-0005589,G.Frerotte,2008,14,-0.0539513077184745,0.042505641260036295,20,510
00-0005755,J.Garcia,2008,17,0.0723286490040865,0.03665247030750315,36,1040
00-0006355,T.Green,2008,12,-0.0224660312265108,0.0429560246639316,17,474
00-0006423,B.Griese,2008,15,-0.0069800016018076,0.04139512153685504,17,500
00-0007091,M.Hasselbeck,2015,16,0.0047163470508684,0.03627010903997395,107,3545
00-0007835,D.Huard,2008,7,-0.0116099318841267,0.03989853629827165,26,720
00-0008442,B.Johnson,2008,9,-0.0696240513732988,0.04162899972907348,19,564
00-0009311,J.Kitna,2011,2,0.0215672862097132,0.03511309703706724,47,1753
00-0010346,P.Manning,2015,21,0.0789686017937882,0.03420662060031946,156,5924
00-0011022,D.McNabb,2011,6,0.0130839653556797,0.03430750485365848,77,2769
00-0011024,S.McNair,2007,10,0.0228300775406233,0.038634741568508005,23,723
00-0013042,J.Plummer,2006,17,-0.0198495539021053,0.04646532878436566,12,334
00-0016193,V.Testaverde,2007,14,-0.0412337705165511,0.0526430545040559,7,185
00-0017200,K.Warner,2009,19,0.144989307556539,0.034737334998170194,57,2007
00-0019559,C.Pennington,2010,10,0.0985232547925968,0.036589544626082736,47,1455
00-0019596,T.Brady,2022,19,0.0993648346303242,0.03185599138802778,292,11530
00-0019599,M.Bulger,2009,11,-0.0553385539527281,0.035381868853316664,52,1786
00-0019623,T.Rattay,2007,12,0.0147079090649478,0.05746705005205679,8,132
00-0019709,C.Redman,2011,17,-0.0155170716002437,0.04815491301005952,14,317
00-0020245,M.Vick,2015,6,-0.0294884422482461,0.03746100353068775,78,2082
00-0020305,A.Feeley,2011,13,-0.0208263841200563,0.04920036611880139,9,252
00-0020434,C.Weinke,2007,17,-0.0653664633886321,0.05597501003976774,4,133
00-0020480,S.Rosenfels,2008,13,0.0985142382673837,0.042886343224422856,18,468
00-0020531,D.Brees,2020,19,0.155166948388593,0.034437368250004236,245,9747
00-0020565,C.Lemon,2008,10,-0.0235215298143285,0.044149150015370626,13,402
00-0020608,D.Carr,2012,17,-0.024038315756848,0.04456649551379601,33,694
00-0020613,Q.Gray,2008,12,0.0519895519787071,0.053453279741509784,9,185
00-0020679,S.Hill,2016,17,0.0249507796927377,0.03857134487623681,45,1303
00-0021141,J.Harrington,2007,13,-0.0398765425950043,0.038355379441343034,23,781
00-0021206,J.McCown,2019,18,-0.0007150779313656,0.03574808054095632,64,1955
00-0021231,D.Garrard,2010,16,0.0563833208057831,0.03531010354224269,70,2192
00-0021296,J.O'Sullivan,2009,17,-0.0858525012404672,0.04874288803157236,13,294
00-0021429,C.Palmer,2017,7,0.07228501260786,0.033058216224441085,156,5777
00-0021678,T.Romo,2016,17,0.1448799831509332,0.03566017596547723,136,4787
00-0022005,C.Simms,2009,11,-0.1181188598572139,0.056617025580895715,6,134
00-0022026,B.Bollinger,2008,17,-0.0258839283030342,0.05995830292712511,8,100
00-0022055,S.Wallace,2013,10,-0.0202806423177507,0.041357052814131955,40,816
00-0022121,R.Grossman,2011,17,-0.0423200517647898,0.03471371556698015,48,1541
00-0022164,K.Boller,2011,7,-0.0849699510271174,0.042901947113894494,26,581
00-0022177,B.Leftwich,2012,11,-0.0371946687271024,0.04407559256417207,21,471
00-0022787,M.Schaub,2019,12,0.0656496514421699,0.03669940339047898,106,3460
00-0022803,E.Manning,2019,15,0.0107396897834253,0.03340777309813541,222,8137
00-0022864,L.McCown,2015,7,-0.0154565396691359,0.049993145294793165,15,281
00-0022912,J.Losman,2011,14,-0.0289909617943591,0.0397852183291898,30,795
00-0022924,B.Roethlisberger,2021,19,0.0232158292035673,0.03267864271617779,240,9061
00-0022942,P.Rivers,2025,17,0.114472853828124,0.03403543840497725,255,9090
00-0023436,A.Smith,2020,17,0.0310650499097263,0.034309624334941356,172,5697
00-0023459,A.Rodgers,2025,19,0.0316413863191456,0.034298787750611535,283,10193
00-0023460,J.Campbell,2014,14,-0.0009205449358032,0.037300427457761125,88,2680
00-0023502,C.Frye,2009,17,-0.0572779722605488,0.04103722871155897,18,566
00-0023504,A.Walter,2008,14,-0.1301808429347825,0.04532190267041974,15,382
00-0023541,K.Orton,2014,17,0.035024723029306,0.03397346472427121,71,2478
00-0023578,D.Orlovsky,2015,8,0.0085692741814127,0.04249906690680397,21,521
00-0023645,D.Anderson,2018,8,-0.0667146601381942,0.03969632415866361,67,1754
00-0023662,M.Cassel,2018,16,-0.0774121361130754,0.037683265064203234,99,2872
00-0023682,R.Fitzpatrick,2021,1,0.0909687603289609,0.03518595267235207,159,5211
00-0024218,V.Young,2011,15,0.0295707372922045,0.03870430829305828,60,1413
00-0024225,M.Leinart,2012,16,-0.0249481450347298,0.04366939236742481,32,672
00-0024226,J.Cutler,2017,17,0.0032782518516251,0.03500831533786937,155,5288
00-0024264,K.Clemens,2017,14,-0.0540556124547258,0.043161977755662446,37,701
00-0024279,T.Jackson,2015,17,0.0117530125830289,0.041508793598901424,56,1192
00-0024296,C.Whitehurst,2016,5,-0.0777373397351817,0.045000683030501885,20,434
00-0024300,B.Croyle,2010,16,-0.0844834348904124,0.04759782631882888,17,343
00-0024408,B.Gradkowski,2014,18,-0.1013670789012964,0.04155826193425081,35,760
00-0024812,T.Palko,2011,14,-0.0426391069057246,0.05505341530591903,8,151
00-0025388,J.Russell,2009,17,-0.1414074857150478,0.04051469922091487,31,748
00-0025409,B.Quinn,2012,17,-0.125163733467925,0.04173240277112738,24,591
00-0025423,K.Kolb,2012,6,-0.0344891398015579,0.03754666867824228,29,830
00-0025427,J.Beck,2011,9,-0.0672908589734899,0.048378328908912305,9,265
00-0025430,D.Stanton,2017,17,-0.0729570090478987,0.041428856023631645,36,695
00-0025479,T.Edwards,2012,17,-0.047555377745229,0.03878840733727282,37,994
00-0025561,T.Smith,2010,16,-0.034149010756477,0.05027272293899645,16,257
00-0025604,T.Thigpen,2012,15,-0.0299862668051516,0.043575562476261855,23,543
00-0025708,M.Moore,2019,9,0.0274291185739359,0.03773613820370998,52,1201
00-0025970,C.Hanie,2011,15,-0.1207041044963696,0.05527030076949102,9,154
